sample,mutation_count,est_time_sec,est_time_hours,sec_per_mut_ref_sample,sec_per_mut
P12-noXY,2135,32415.595686065455,9.004332135018181,P13-noXY_total,15.18294879909389
P13-noXY,6774,102849.29516506201,28.56924865696167,P13-noXY_total,15.18294879909389
P14-noXY,17557,266567.0320656914,74.0463977960254,P13-noXY_total,15.18294879909389
P15-noXY,1868,28361.748356707387,7.878263432418718,P13-noXY_total,15.18294879909389
P16-noXY,8563,130011.59056664098,36.11433071295583,P13-noXY_total,15.18294879909389
P18-noXY,4393,66698.69407441946,18.527415020672073,P13-noXY_total,15.18294879909389
P19-noXY,2143,32537.059276458203,9.03807202123839,P13-noXY_total,15.18294879909389
P20-noXY,1739,26403.147961624272,7.334207767117854,P13-noXY_total,15.18294879909389
P21-noXY,9769,148322.2268183482,41.20061856065227,P13-noXY_total,15.18294879909389
P23-noXY,7903,119990.84435923901,33.330790099788615,P13-noXY_total,15.18294879909389
P24-noXY,4149,62994.054567440544,17.498348490955706,P13-noXY_total,15.18294879909389
P3-noXY,1647,25006.316672107634,6.946199075585454,P13-noXY_total,15.18294879909389
P4-noXY,1816,27572.235019154505,7.658954171987363,P13-noXY_total,15.18294879909389
P5-noXY,4165,63236.98174822605,17.565828263396124,P13-noXY_total,15.18294879909389
P9-noXY,10823,164325.05485259317,45.645848570164766,P13-noXY_total,15.18294879909389
S5-noXY,24257,368292.78901962045,102.30355250545013,P13-noXY_total,15.18294879909389
S7-noXY,11912,180859.28609480642,50.23869058189067,P13-noXY_total,15.18294879909389
S8-noXY,10751,163231.8825390584,45.34218959418289,P13-noXY_total,15.18294879909389
T0-noXY,2532,38443.22635930573,10.678673988696035,P13-noXY_total,15.18294879909389
T11-noXY,3676,55812.519785469136,15.503477718185872,P13-noXY_total,15.18294879909389
T13-noXY,9832,149278.75259269113,41.46632016463643,P13-noXY_total,15.18294879909389
T14-noXY,6472,98264.04462773565,27.295567952148794,P13-noXY_total,15.18294879909389
T15-noXY,3452,52411.5392544721,14.558760904020028,P13-noXY_total,15.18294879909389
T16-noXY,3648,55387.397219094506,15.385388116415141,P13-noXY_total,15.18294879909389
T2-noXY,4587,69644.18614144367,19.345607261512132,P13-noXY_total,15.18294879909389
T3-noXY,29447,447092.2932869178,124.19230369081049,P13-noXY_total,15.18294879909389
T4-noXY,2367,35938.039807455236,9.982788835404232,P13-noXY_total,15.18294879909389
T6-noXY,11865,180145.687501249,50.04046875034694,P13-noXY_total,15.18294879909389
T9-noXY,5642,85662.19712448772,23.795054756802145,P13-noXY_total,15.18294879909389
